"","daypart_End","TripCount","year","CollisionCount"
"1","AM Peak",474,2004,1053
"2","AM Peak",474,2005,1280
"3","AM Peak",474,2006,1467
"4","AM Peak",474,2007,1296
"5","AM Peak",474,2008,1209
"6","AM Peak",474,2009,974
"7","AM Peak",474,2010,1261
"8","AM Peak",474,2011,1164
"9","AM Peak",474,2012,1334
"10","AM Peak",474,2013,1374
"11","AM Peak",474,2014,1561
"12","AM Peak",474,2015,1634
"13","AM Peak",474,2016,1773
"14","AM Peak",474,2017,1782
"15","AM Peak",474,2018,1673
"16","AM Peak",474,2019,1475
"17","AM Peak",474,2020,780
"18","AM Peak",474,2021,734
"19","AM Peak",474,2022,805
"20","AM Peak",474,2023,410
"21","Mid-Day",1447,2004,1650
"22","Mid-Day",1447,2005,2153
"23","Mid-Day",1447,2006,2111
"24","Mid-Day",1447,2007,2045
"25","Mid-Day",1447,2008,1858
"26","Mid-Day",1447,2009,1530
"27","Mid-Day",1447,2010,2007
"28","Mid-Day",1447,2011,1934
"29","Mid-Day",1447,2012,2073
"30","Mid-Day",1447,2013,2030
"31","Mid-Day",1447,2014,2220
"32","Mid-Day",1447,2015,2284
"33","Mid-Day",1447,2016,2242
"34","Mid-Day",1447,2017,2287
"35","Mid-Day",1447,2018,2109
"36","Mid-Day",1447,2019,2050
"37","Mid-Day",1447,2020,1274
"38","Mid-Day",1447,2021,1248
"39","Mid-Day",1447,2022,1128
"40","Mid-Day",1447,2023,583
"41","Night",1050,2004,1376
"42","Night",1050,2005,1681
"43","Night",1050,2006,1596
"44","Night",1050,2007,1576
"45","Night",1050,2008,1470
"46","Night",1050,2009,1262
"47","Night",1050,2010,1622
"48","Night",1050,2011,1544
"49","Night",1050,2012,1658
"50","Night",1050,2013,1451
"51","Night",1050,2014,1661
"52","Night",1050,2015,1640
"53","Night",1050,2016,1634
"54","Night",1050,2017,1541
"55","Night",1050,2018,1495
"56","Night",1050,2019,1327
"57","Night",1050,2020,967
"58","Night",1050,2021,1186
"59","Night",1050,2022,1271
"60","Night",1050,2023,613
"61","PM Peak",641,2004,1860
"62","PM Peak",641,2005,2375
"63","PM Peak",641,2006,2402
"64","PM Peak",641,2007,2121
"65","PM Peak",641,2008,1948
"66","PM Peak",641,2009,1657
"67","PM Peak",641,2010,2204
"68","PM Peak",641,2011,2054
"69","PM Peak",641,2012,2252
"70","PM Peak",641,2013,2162
"71","PM Peak",641,2014,2354
"72","PM Peak",641,2015,2567
"73","PM Peak",641,2016,2364
"74","PM Peak",641,2017,2275
"75","PM Peak",641,2018,2057
"76","PM Peak",641,2019,1829
"77","PM Peak",641,2020,1158
"78","PM Peak",641,2021,1170
"79","PM Peak",641,2022,1199
"80","PM Peak",641,2023,615
"81","Weekend",1388,2004,2055
"82","Weekend",1388,2005,2667
"83","Weekend",1388,2006,2529
"84","Weekend",1388,2007,2540
"85","Weekend",1388,2008,2241
"86","Weekend",1388,2009,1963
"87","Weekend",1388,2010,2584
"88","Weekend",1388,2011,2421
"89","Weekend",1388,2012,2568
"90","Weekend",1388,2013,2456
"91","Weekend",1388,2014,2578
"92","Weekend",1388,2015,2781
"93","Weekend",1388,2016,2588
"94","Weekend",1388,2017,2446
"95","Weekend",1388,2018,2370
"96","Weekend",1388,2019,2037
"97","Weekend",1388,2020,1305
"98","Weekend",1388,2021,1615
"99","Weekend",1388,2022,1629
"100","Weekend",1388,2023,838
